weighting_scheme,category,grouping_mode,group_item,unweighted_share,weighted_share
0.10_sigma_within_model,"['GW0, GW1', 'GW2', 'GW3', 'GW4', 'GW5', 'GW6', 'GW7', 'GW8']",Project,NGFS Phase 5,4.285714285714286,4.516108174637969
0.10_sigma_within_model,"['GW0, GW1', 'GW2', 'GW3', 'GW4', 'GW5', 'GW6', 'GW7', 'GW8']",Project,PEP-1.5°C (REMIND-MAgPIE),0.9523809523809524,1.0113126260588656
0.10_sigma_within_model,"['GW0, GW1', 'GW2', 'GW3', 'GW4', 'GW5', 'GW6', 'GW7', 'GW8']",Project,R2p1 (REMIND),1.4285714285714286,1.5230400702729134
0.10_sigma_within_model,"['GW0, GW1', 'GW2', 'GW3', 'GW4', 'GW5', 'GW6', 'GW7', 'GW8']",Project,RESCUE [Horizon Europe],0.9523809523809524,1.045885660704571
0.10_sigma_within_model,"['GW0, GW1', 'GW2', 'GW3', 'GW4', 'GW5', 'GW6', 'GW7', 'GW8']",Project,Rescuing 1.5°C [IKEA Foundation],0.4761904761904762,0.5206317133438344
0.10_sigma_within_model,"['GW0, GW1', 'GW2', 'GW3', 'GW4', 'GW5', 'GW6', 'GW7', 'GW8']",Project,SDI (AIM/Hub-Global),0.9523809523809524,0.9910605910619508
0.10_sigma_within_model,"['GW0, GW1', 'GW2', 'GW3', 'GW4', 'GW5', 'GW6', 'GW7', 'GW8']",Project,SHAPE [JPI Climate],0.9523809523809524,1.0133550387737358
0.10_sigma_within_model,"['GW0, GW1', 'GW2', 'GW3', 'GW4', 'GW5', 'GW6', 'GW7', 'GW8']",Project,SSP,3.3333333333333335,3.346014427151752
0.10_sigma_within_model,"['GW0, GW1', 'GW2', 'GW3', 'GW4', 'GW5', 'GW6', 'GW7', 'GW8']",Project,SSP-2021 (IMAGE),7.142857142857142,7.464559291144522
0.10_sigma_within_model,"['GW0, GW1', 'GW2', 'GW3', 'GW4', 'GW5', 'GW6', 'GW7', 'GW8']",Project,UFOPLAN (REMIND-MAgPIE),0.9523809523809524,1.0113586247985413
0.10_sigma_within_model,GW2,Model_family,GCAM,16.666666666666664,16.56436803502497
0.10_sigma_within_model,GW2,Model_family,IMAGE,44.44444444444444,44.23991721687716
0.10_sigma_within_model,GW2,Model_family,MESSAGE,11.11111111111111,11.489103360743288
0.10_sigma_within_model,GW2,Model_family,REMIND,11.11111111111111,11.51517645159017
0.10_sigma_within_model,GW2,Model_family,WITCH,16.666666666666664,16.191434935764416
0.10_sigma_within_model,GW2,Model_type,IT_GE,38.88888888888889,39.19571474809787
0.10_sigma_within_model,GW2,Model_type,RD_PE,61.111111111111114,60.80428525190214
0.10_sigma_within_model,GW2,Project,ENGAGE [Horizon 2020],16.666666666666664,16.191434935764416
0.10_sigma_within_model,GW2,Project,NAVIGATE [Horizon 2020],11.11111111111111,10.936964460210628
0.10_sigma_within_model,GW2,Project,NGFS Phase 5,33.33333333333333,33.92289523064288
0.10_sigma_within_model,GW2,Project,SSP,5.555555555555555,5.645752616715546
0.10_sigma_within_model,GW2,Project,SSP-2021 (IMAGE),33.33333333333333,33.302952756666535
0.10_sigma_within_model,GW3,Model_family,GCAM,6.349206349206349,6.552923732675447
0.10_sigma_within_model,GW3,Model_family,IMAGE,22.22222222222222,22.648813032873814
0.10_sigma_within_model,GW3,Model_family,MESSAGE,11.11111111111111,11.941563630648155
0.10_sigma_within_model,GW3,Model_family,POLES,22.22222222222222,19.991043415866294
0.10_sigma_within_model,GW3,Model_family,REMIND,15.873015873015872,17.03720290094188
0.10_sigma_within_model,GW3,Model_family,WITCH,22.22222222222222,21.828453286994403
0.10_sigma_within_model,GW3,Model_type,IT_GE,49.2063492063492,50.807219818584436
0.10_sigma_within_model,GW3,Model_type,RD_PE,50.79365079365079,49.19278018141555
0.10_sigma_within_model,GW3,Project,COMMIT [Horizon 2020],7.936507936507936,7.203123658518266
0.10_sigma_within_model,GW3,Project,EMF30,1.5873015873015872,1.6929817714248883
0.10_sigma_within_model,GW3,Project,EMF33,3.1746031746031744,3.3941557053116265
0.10_sigma_within_model,GW3,Project,ENGAGE [Horizon 2020],42.857142857142854,40.92023019923654
0.10_sigma_within_model,GW3,Project,NAVIGATE [Horizon 2020],12.698412698412698,13.393181633651826
0.10_sigma_within_model,GW3,Project,NGFS Phase 2,3.1746031746031744,3.3681649991771367
0.10_sigma_within_model,GW3,Project,NGFS Phase 5,9.523809523809524,10.04825875897694
0.10_sigma_within_model,GW3,Project,RESCUE [Horizon Europe],6.349206349206349,6.836993552067196
0.10_sigma_within_model,GW3,Project,SSP,1.5873015873015872,1.6418623300000217
0.10_sigma_within_model,GW3,Project,SSP-2021 (IMAGE),11.11111111111111,11.501047391635549
